,Base Model,Fit Method,n_epoch,lr_max,div,patience,item_tfms,batch_tfms,F1 Score
0,densenet121,fine_tune,50,None -> None,25,1,Resize(224),None,0.0972222238779068
1,densenet121,fine_tune,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",None,0.0833333358168602
2,densenet121,fine_tune,50,None -> None,25,1,"Resize(450, pad_mode='zeros')",None,0.0833333358168602
3,densenet121,fine_tune,50,None -> None,25,1,"RandomResizedCrop(450, min_scale=0.75)",None,0.1666666716337204
4,densenet121,fine_tune,50,None -> None,25,1,Resize(224),aug_transforms(),0.0555555559694767
5,densenet121,fine_tune,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",aug_transforms(),0.0833333358168602
6,densenet121,fine_tune,50,None -> None,25,1,"Resize(450, pad_mode='zeros')",aug_transforms(),0.0833333358168602
7,densenet121,fine_tune,50,None -> None,25,1,"RandomResizedCrop(450, min_scale=0.75)",aug_transforms(),0.1944444477558136
8,densenet121,fine_tune,50,None -> None,25,1,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0416666679084301
9,densenet121,fine_tune,50,None -> None,25,1,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0555555559694767
10,densenet121,fine_tune,50,None -> None,25,1,"Resize(450, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0833333358168602
11,densenet121,fine_tune,50,None -> None,25,1,"RandomResizedCrop(450, min_scale=0.75)","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1111111119389534
12,densenet121,fit_one_cycle,50,None -> None,25,1,Resize(224),None,0.125
13,densenet121,fit_one_cycle,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",None,0.125
14,densenet121,fit_one_cycle,50,None -> None,25,1,"Resize(450, pad_mode='zeros')",None,0.0833333358168602
15,densenet121,fit_one_cycle,50,None -> None,25,1,"RandomResizedCrop(450, min_scale=0.75)",None,0.1388888955116272
16,densenet121,fit_one_cycle,50,None -> None,25,1,Resize(224),aug_transforms(),0.1111111119389534
17,densenet121,fit_one_cycle,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",aug_transforms(),0.125
18,densenet121,fit_one_cycle,50,None -> None,25,1,"Resize(450, pad_mode='zeros')",aug_transforms(),0.0972222238779068
19,densenet121,fit_one_cycle,50,None -> None,25,1,"RandomResizedCrop(450, min_scale=0.75)",aug_transforms(),0.1666666716337204
20,densenet121,fit_one_cycle,50,None -> None,25,1,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0833333358168602
21,densenet121,fit_one_cycle,50,None -> None,25,1,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0555555559694767
22,densenet121,fit_one_cycle,50,None -> None,25,1,"Resize(450, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1111111119389534
23,densenet121,fit_one_cycle,50,None -> None,25,1,"RandomResizedCrop(450, min_scale=0.75)","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.125
24,densenet121,fit_one_cycle,50,lr_find().valley -> 0.0003981071640737355,25,3,Resize(224),None,0.1805555522441864
25,densenet121,fit_one_cycle,50,lr_find().valley -> 0.0006918309954926372,25,3,"Resize(224, pad_mode='zeros')",None,0.2083333283662796
26,densenet121,fit_one_cycle,50,lr_find().valley -> 0.0006918309954926372,25,3,"Resize(450, pad_mode='zeros')",None,0.2777777910232544
27,densenet121,fit_one_cycle,50,lr_find().valley -> 0.0008317637839354575,25,3,"RandomResizedCrop(450, min_scale=0.75)",None,0.2361111044883728
28,densenet121,fit_one_cycle,50,lr_find().valley -> 0.001737800776027143,25,3,Resize(224),aug_transforms(),0.2083333283662796
29,densenet121,fit_one_cycle,50,lr_find().valley -> 0.0004786300996784121,25,3,"Resize(224, pad_mode='zeros')",aug_transforms(),0.2361111044883728
30,densenet121,fit_one_cycle,50,lr_find().valley -> 0.001737800776027143,25,3,"Resize(450, pad_mode='zeros')",aug_transforms(),0.2361111044883728
31,densenet121,fit_one_cycle,50,lr_find().valley -> 0.0014454397605732083,25,3,"RandomResizedCrop(450, min_scale=0.75)",aug_transforms(),0.25
32,densenet121,fit_one_cycle,50,lr_find().valley -> 0.0005754399462603033,25,3,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.2777777910232544
33,densenet121,fit_one_cycle,50,lr_find().valley -> 0.0030199517495930195,25,3,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.2222222238779068
