,Base Model,Fit Method,n_epoch,lr_max,div,patience,item_tfms,batch_tfms,F1 Score
0,resnet18,fine_tune,50,None -> None,25,1,Resize(224),None,0.0972222238779068
1,resnet18,fine_tune,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",None,0.0972222238779068
2,resnet18,fine_tune,50,None -> None,25,1,"Resize(450, pad_mode='zeros')",None,0.0555555559694767
3,resnet18,fine_tune,50,None -> None,25,1,"RandomResizedCrop(450, min_scale=0.75)",None,0.1388888955116272
4,resnet18,fine_tune,50,None -> None,25,1,Resize(224),aug_transforms(),0.1111111119389534
5,resnet18,fine_tune,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",aug_transforms(),0.125
6,resnet18,fine_tune,50,None -> None,25,1,"Resize(450, pad_mode='zeros')",aug_transforms(),0.0972222238779068
7,resnet18,fine_tune,50,None -> None,25,1,"RandomResizedCrop(450, min_scale=0.75)",aug_transforms(),0.1527777761220932
8,resnet18,fine_tune,50,None -> None,25,1,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1111111119389534
9,resnet18,fine_tune,50,None -> None,25,1,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0833333358168602
10,resnet18,fine_tune,50,None -> None,25,1,"Resize(450, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0972222238779068
11,resnet18,fine_tune,50,None -> None,25,1,"RandomResizedCrop(450, min_scale=0.75)","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1527777761220932
12,resnet18,fit_one_cycle,50,None -> None,25,1,Resize(224),None,0.1666666716337204
13,resnet18,fit_one_cycle,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",None,0.1666666716337204
14,resnet18,fit_one_cycle,50,None -> None,25,1,"Resize(450, pad_mode='zeros')",None,0.0833333358168602
15,resnet18,fit_one_cycle,50,None -> None,25,1,"RandomResizedCrop(450, min_scale=0.75)",None,0.1111111119389534
16,resnet18,fit_one_cycle,50,None -> None,25,1,Resize(224),aug_transforms(),0.1388888955116272
17,resnet18,fit_one_cycle,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",aug_transforms(),0.1805555522441864
18,resnet18,fit_one_cycle,50,None -> None,25,1,"Resize(450, pad_mode='zeros')",aug_transforms(),0.1111111119389534
19,resnet18,fit_one_cycle,50,None -> None,25,1,"RandomResizedCrop(450, min_scale=0.75)",aug_transforms(),0.1111111119389534
20,resnet18,fit_one_cycle,50,None -> None,25,1,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1666666716337204
21,resnet18,fit_one_cycle,50,None -> None,25,1,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1388888955116272
